opt_feat_var,recent_best_ext_ret,vpredmean,retmean,retstd,n_updates,opt_approxkl,advmean,tps,rew_mean,opt_aux,opt_ent,vpredstd,opt_clipfrac,advstd,opt_tot,opt_vf,opt_dyn_loss,ev,ups,opt_pg,rank,total_secs,eplen,epcount,eprew_recent,eprew,best_ext_ret,tcount
32.97431,12.0,3.1600287,3.135351,0.16402003,67,1.5808893e-13,-0.02467775,243.53490349358052,13.499872,0.20836271,1.188781,0.15606497,0.0,0.15105948,-0.16605684,0.011660946,14.399275,0.15179228782653809,0.014864190887059358,-0.176529,0,4572.111915111542,225.0,4864.0,2.4296875,2.5,22.0,1094400.0
29.769272,,3.1448126,3.1250648,0.15819341,68,1.618883e-13,-0.019747572,243.4512893074044,13.1802025,0.26996785,1.222564,0.14572576,0.0,0.13802385,0.00018986501,0.010036727,13.201198,0.23874258995056152,0.014859087482141382,-0.0086242985,0,4639.410798788071,225.0,4864.0,2.4296875,2.5,22.0,1094400.0
31.769459,14.0,3.125952,3.106032,0.15516937,69,1.719701e-13,-0.019920237,240.8658999314859,13.50848,0.21213333,1.2115644,0.15233791,0.0,0.14696133,-0.0018437374,0.011546141,13.728726,0.1029965877532959,0.014701287837615106,-0.012178313,0,4707.4320504665375,225.0,4992.0,2.4375,2.38,22.0,1123200.0
34.23513,,3.1699753,3.1565855,0.15818396,70,1.5665639e-13,-0.013389936,245.01772953519114,13.956749,0.146257,1.1830932,0.1380957,0.0,0.13571714,-0.0443243,0.009619134,14.111123,0.26388680934906006,0.014954695406200631,-0.05276034,0,4774.300680875778,225.0,4992.0,2.4375,2.38,22.0,1123200.0
30.695078,13.0,3.1076598,3.114194,0.16367415,71,1.8748528e-13,0.006534201,239.4028223083366,14.418506,0.2818536,1.1736977,0.15369603,0.0,0.15074222,-0.09089602,0.013008544,14.742158,0.15177786350250244,0.01461198866628031,-0.10273086,0,4842.737635135651,225.0,5120.0,2.2734375,2.27,22.0,1152000.0
33.392307,,3.1431777,3.1624064,0.1667529,72,1.7225816e-13,0.019228831,244.8607603257441,15.091373,0.16459282,1.161815,0.14956577,0.0,0.14198738,0.053789347,0.010469816,14.770297,0.2749754786491394,0.014945114765975593,0.044481345,0,4909.649132013321,225.0,5120.0,2.2734375,2.27,22.0,1152000.0
36.050705,20.0,3.1351008,3.1468894,0.18394442,73,1.8234322e-13,0.011788765,241.39730230699595,14.951734,0.16928345,1.1512414,0.16352499,0.0,0.15351251,-0.09791678,0.011480683,15.705389,0.303510844707489,0.014733722064635984,-0.10824622,0,4977.520644426346,225.0,5248.0,2.703125,2.78,22.0,1180800.0
35.93463,12.0,3.1685946,3.1598415,0.16588552,74,1.8133196e-13,-0.008753348,241.25035907328095,15.118331,0.15476617,1.1773216,0.1570425,0.0,0.14852929,0.10322734,0.011712299,14.508154,0.19830864667892456,0.014724753361406308,0.09269236,0,5045.433496713638,225.0,5376.0,2.265625,2.37,22.0,1209600.0
37.221527,,3.1954036,3.197914,0.15492444,75,1.7476011e-13,0.0025104473,244.7125396706102,15.146876,0.16661061,1.1635133,0.15222755,0.0,0.14176174,0.091666386,0.009098757,15.011131,0.16270577907562256,0.014936068095130017,0.08373114,0,5112.385521411896,225.0,5376.0,2.265625,2.37,22.0,1209600.0
34.96735,14.0,3.1659348,3.1499715,0.15506494,76,1.8120623e-13,-0.015963372,243.15342650794486,15.02367,0.20710595,1.1439918,0.15778966,0.0,0.15024942,-0.07016802,0.011405827,15.116217,0.0611453652381897,0.014840907379635306,-0.08042985,0,5179.766846179962,225.0,5504.0,2.828125,2.7,22.0,1238400.0
35.06498,,3.172338,3.154283,0.15197144,77,1.9292985e-13,-0.018055094,246.380057943782,14.950343,0.18413731,1.1841536,0.14412816,0.0,0.13069266,0.012553608,0.009224688,14.813951,0.2604314088821411,0.015037845333482788,0.0045130737,0,5246.265734672546,225.0,5504.0,2.828125,2.7,22.0,1238400.0
36.685837,13.0,3.1451955,3.144936,0.1427558,78,1.9847934e-13,-0.00025937322,244.3678149945745,15.620196,0.18911184,1.1137898,0.14422092,0.0,0.14414322,-0.09981085,0.01229571,15.9612055,-0.019532203674316406,0.014915027770664948,-0.110992774,0,5313.312207221985,225.0,5632.0,2.5625,2.54,22.0,1267200.0
37.364998,,3.1705587,3.1461604,0.14395423,79,1.8890086e-13,-0.02439842,245.91984129489435,14.977091,0.1537034,1.1405411,0.1370354,0.0,0.13048862,-0.119373836,0.008085498,15.752995,0.17833197116851807,0.01500975593840908,-0.1263188,0,5379.935542345047,225.0,5632.0,2.5625,2.54,22.0,1267200.0
35.171776,13.0,3.109949,3.1184094,0.13903831,80,1.8833841e-13,0.0084606055,241.04441614271173,15.987897,0.22739615,1.1396396,0.13505618,0.0,0.13446946,-0.08702234,0.0108657405,16.508259,0.0646410584449768,0.014712183602460432,-0.09674844,0,5447.90641784668,225.0,5760.0,2.4375,2.55,22.0,1296000.0
38.953735,13.0,3.149399,3.1412368,0.13822125,81,1.9553224e-13,-0.008162341,243.59179782313836,15.877175,0.1906052,1.1450614,0.13735245,0.0,0.1353303,-0.08628143,0.0084585585,16.083067,0.041393399238586426,0.01486766344135366,-0.09359492,0,5515.166482210159,225.0,5888.0,2.109375,2.1,22.0,1324800.0
