opt_clipfrac,recent_best_ext_ret,vpredstd,opt_aux,opt_ent,ups,opt_vf,ev,rew_mean,opt_tot,retmean,rank,opt_dyn_loss,advmean,opt_approxkl,opt_pg,vpredmean,advstd,opt_feat_var,tps,total_secs,n_updates,retstd,epcount,eplen,eprew,tcount,best_ext_ret,eprew_recent
0.0,10.0,0.46347395,0.48828402,1.226945,0.0065547099069802025,0.0138462195,0.8626906722784042,7.428255,0.04506622,2.8276668,0,7.0523014,-0.0018572866,1.3587048e-13,0.032446943,2.829524,0.17375363,25.60595,755.1025812841193,6460.981841087341,41,0.46890396,5120.0,900.0,0.73,4608000.0,14.0,0.765625
0.0,10.0,0.4685553,0.4707991,1.2174588,0.006571380595187686,0.018637044,0.8566145747900009,8.31285,-0.07473438,2.9246671,0,8.510245,0.019640204,1.6432354e-13,-0.09215397,2.9050272,0.18579079,28.168268,757.0230445656215,6613.156865119934,42,0.49064985,5248.0,900.0,0.81,4723200.0,14.0,0.8046875
0.0,13.0,0.470934,0.44666553,1.2217228,0.00658048277330157,0.015906915,0.8763151466846466,8.008087,0.009243684,2.8610742,0,8.095108,-0.0047284826,1.5906353e-13,-0.005441508,2.8658028,0.16950363,29.676674,758.0716154843408,6765.121399402618,43,0.48197082,5376.0,900.0,0.82,4838400.0,14.0,0.75
0.0,10.0,0.45307568,0.4462775,1.2204239,0.006553876389255853,0.014715248,0.867650642991066,8.049761,0.0078082886,2.8614168,0,8.090009,-0.014448657,1.652552e-13,-0.0056865355,2.875866,0.17095882,29.294,755.0065600422743,6917.7028551101685,44,0.4699272,5504.0,900.0,0.85,4953600.0,14.0,0.78125
0.0,10.0,0.46968767,0.44416177,1.1781,0.006519634020865026,0.012105581,0.8951068371534348,8.662773,-0.014497685,2.8713646,0,8.519122,0.011154816,1.5581111e-13,-0.025425166,2.86021,0.15669478,28.302462,751.061839203651,7071.085697889328,45,0.4838168,5632.0,900.0,0.94,5068800.0,14.0,0.8359375
0.0,12.0,0.46272182,0.4157238,1.2020639,0.006497624095350237,0.012680516,0.8838464170694351,8.409584,0.0706234,2.9205258,0,8.259147,-0.02822361,1.6256138e-13,0.059144948,2.9487493,0.1628606,29.573353,748.5262957843473,7224.9881067276,46,0.47785893,5760.0,900.0,1.07,5184000.0,14.0,1.0
0.0,10.0,0.42401162,0.42161974,1.1827211,0.006589076514543185,0.012843537,0.8631984442472458,8.664532,0.034468926,2.907664,0,8.335042,-0.028362673,1.6811993e-13,0.02280811,2.9360268,0.1628333,30.360172,759.061614475375,7376.754442691803,47,0.4402483,5888.0,900.0,0.82,5299200.0,14.0,0.7734375
0.0,3.0,0.42094058,0.4074001,1.1948911,0.006596021415084454,0.011824722,0.8772893324494362,8.917155,-0.064864025,2.8853016,0,8.973663,-0.015393216,1.7659812e-13,-0.07549385,2.9006946,0.15427907,34.65587,759.8616670177291,7528.360985040665,48,0.4404188,6016.0,900.0,0.7,5414400.0,14.0,0.65625
0.0,10.0,0.40009934,0.43398067,1.1563267,0.006476829592359268,0.011269463,0.8720808625221252,9.226088,0.022855729,2.7843847,0,8.807346,0.011891709,1.5731555e-13,0.012742591,2.7724926,0.15428033,31.942535,746.1307690397878,7682.757512807846,49,0.4313629,6144.0,900.0,0.97,5529600.0,14.0,0.9140625
0.0,3.0,0.41826215,0.43056628,1.1461703,0.0064386698537747585,0.013659464,0.8806743621826172,9.127612,0.0097619705,2.7987638,0,8.983919,-0.0054853777,1.687588e-13,-0.002751323,2.8042493,0.15158875,34.951324,741.7347671548522,7838.069094657898,50,0.43883383,6272.0,900.0,0.53,5644800.0,14.0,0.5859375
0.0,10.0,0.42814222,0.38880756,1.1441363,0.006612899231317693,0.010941577,0.8930415883660316,9.621589,0.042489186,2.8776972,0,9.03345,-0.0036014745,1.698421e-13,0.032691747,2.8812988,0.14641237,34.351845,761.8059914477982,7989.288698196411,51,0.44768268,6400.0,900.0,0.88,5760000.0,14.0,0.84375
0.0,3.0,0.42949742,0.30725294,1.1366152,0.006431209579848772,0.010630697,0.8895017206668854,9.877743,0.062079437,2.792268,0,10.103034,0.013643671,1.8283323e-13,0.052585356,2.7786238,0.15224825,35.0226,740.8753435985785,8144.780443191528,52,0.45800954,6528.0,900.0,0.42,5875200.0,14.0,0.4921875
0.0,3.0,0.4542666,0.33622062,1.1581595,0.0066095164263479484,0.009980728,0.9076671004295349,9.640513,-0.0120544145,2.809363,0,10.095987,-0.010869789,1.8148523e-13,-0.020876983,2.8202324,0.14424329,36.198174,761.4162923152836,8296.07744216919,53,0.47469795,6656.0,900.0,0.71,5990400.0,14.0,0.71875
0.0,3.0,0.47921795,0.39199403,1.1611272,0.006478816318993126,0.010988621,0.9106123447418213,9.778523,-0.027883148,2.7469544,0,9.966009,-0.0015305011,1.7503468e-13,-0.03771064,2.7484856,0.14829637,38.162464,746.3596399480082,8450.426624298096,54,0.49601153,6784.0,900.0,0.58,6105600.0,14.0,0.6015625
0.0,3.0,0.48027685,0.30534184,1.1429628,0.006545365858160495,0.011886766,0.9017343372106552,10.912295,-0.0131421555,2.9062586,0,11.573737,0.016747361,1.9441198e-13,-0.02388596,2.8895113,0.15454389,38.982437,754.026146860089,8603.206472158432,55,0.4930046,6912.0,900.0,0.79,6220800.0,14.0,0.75
0.0,3.0,0.49953377,0.36041048,1.1548864,0.006484157359525885,0.010462128,0.9137116894125938,10.483312,0.03859081,2.8425083,0,10.119328,-0.0036073427,1.8180645e-13,0.029283568,2.8461158,0.15145123,39.77425,746.9749278173819,8757.428515911102,56,0.5155809,7040.0,900.0,0.69,6336000.0,14.0,0.6796875
0.0,13.0,0.47463128,0.33652014,1.1025728,0.006459939228637478,0.011035729,0.9155432879924774,11.722254,-0.0011141775,2.8943918,0,11.533321,0.03953663,1.7706534e-13,-0.0110473335,2.854855,0.14936472,39.441914,744.1849991390376,8912.228733778,57,0.513962,7168.0,900.0,0.84,6451200.0,14.0,0.78125
0.0,3.0,0.5497098,0.3066352,1.1239293,0.006530768728450794,0.009542801,0.938151877373457,10.743913,-0.009964556,2.8788722,0,11.339375,-0.019200278,1.8791876e-13,-0.018383428,2.8980725,0.13866398,40.530163,752.3445575175315,9065.350064754486,58,0.5575713,7296.0,900.0,0.54,6566400.0,14.0,0.5
0.0,3.0,0.5431618,0.34185714,1.1322535,0.006548183853892923,0.00745243,0.9383753016591072,11.300035,0.020545937,2.8732405,0,10.936611,-0.003815097,1.8563699e-13,0.0142257605,2.8770554,0.13820815,41.94393,754.3507799684647,9218.064164161682,59,0.5567449,7424.0,900.0,0.59,6681600.0,14.0,0.640625
0.0,3.0,0.54779387,0.3143383,1.1360947,0.00656016234564968,0.012553767,0.9087104350328445,12.501035,0.16060135,2.873576,0,12.18402,0.044914603,1.9195476e-13,0.14918368,2.8286612,0.18035212,41.36692,755.7307022188431,9370.4994161129,60,0.5969125,7552.0,900.0,0.6,6796800.0,14.0,0.578125
0.0,3.0,0.5681774,0.41632447,1.1592093,0.006559428595509791,0.01014836,0.9324659630656242,11.293782,0.007056278,2.830044,0,10.2846,-0.017928276,1.8209715e-13,-0.0019328732,2.8479724,0.14673074,43.190025,755.6461742027279,9522.951719760895,61,0.56462455,7680.0,900.0,0.79,6912000.0,14.0,0.75
0.0,3.0,0.53739023,0.30280164,1.1090056,0.006412106500488245,0.009934352,0.9150154665112495,12.342262,0.09342194,2.8510628,0,12.933203,0.023643075,2.013408e-13,0.0845966,2.8274195,0.14683457,41.30464,738.674668856246,9678.906708955765,62,0.5036842,7808.0,900.0,0.65,7027200.0,14.0,0.59375
0.0,3.0,0.51226014,0.2665427,1.1173856,0.006499665078434014,0.009271714,0.9359305202960968,10.926148,-0.044884227,2.8479965,0,11.580306,-0.050400183,1.9383819e-13,-0.053038556,2.8983967,0.13216943,44.902775,748.7614170355984,9832.760790348053,63,0.52216214,7936.0,900.0,0.54,7142400.0,14.0,0.5703125
