opt_aux,opt_ent,vpredmean,n_updates,opt_clipfrac,opt_tot,retstd,rew_mean,tps,total_secs,vpredstd,opt_pg,opt_vf,opt_feat_var,ups,rank,recent_best_ext_ret,ev,advmean,retmean,opt_dyn_loss,opt_approxkl,advstd,epcount,tcount,eprew,eplen,eprew_recent,best_ext_ret
0.0,0.53828394,3.397999,475,0.0,0.08591582,0.13596052,0.009547357,246.76162662596036,31721.44637322426,0.145074,0.081430994,0.005023107,0.023139713,0.015061134437619651,0,13.0,0.4123256206512451,-0.004920562,3.3930783,0.009306383,4.2043615e-13,0.10422723,34560.0,7776000.0,2.07,225.0,2.0703125,23.0
0.0,0.6128678,3.4396825,476,0.0,-0.0911772,0.14649227,0.0098460065,253.22322412918803,31786.148179531097,0.13885304,-0.09360703,0.0030427,0.026739053,0.015455519050853761,0,,0.6624758243560791,0.0036446552,3.443327,0.010134968,3.4234106e-13,0.085107364,34560.0,7776000.0,2.07,225.0,2.0703125,23.0
0.0,0.57641864,3.4396486,477,0.0,0.0046575284,0.14931916,0.009575636,249.15165602980042,31851.907325029373,0.15505084,-0.0017394926,0.00697344,0.024188168,0.015207010255725123,0,10.0,0.41951531171798706,-0.006651228,3.4329975,0.009580834,3.5388614e-13,0.1137656,34688.0,7804800.0,1.84,225.0,1.9296875,23.0
0.0,0.6554973,3.5062685,478,0.0,0.07177475,0.14076294,0.009913513,254.99573638093653,31916.159379720688,0.14929007,0.0681884,0.0042418432,0.02358545,0.015563704613094271,0,,0.5521843731403351,-0.0022440637,3.5040243,0.00962475,4.1500343e-13,0.0941972,34688.0,7804800.0,1.84,225.0,1.9296875,23.0
0.0,0.5739628,3.4745638,479,0.0,-0.08999911,0.16353618,0.0094664935,250.49112503769425,31981.566886663437,0.16597304,-0.095993556,0.006568407,0.02522007,0.015288764955913955,0,4.0,0.5173215568065643,-0.018863473,3.4557004,0.009609703,4.3728077e-13,0.11361687,34816.0,7833600.0,1.87,225.0,1.8828125,23.0
0.0,0.627348,3.4370537,480,0.0,0.040169954,0.13234533,0.009713814,252.5372283151233,32046.44444990158,0.13858697,0.035204377,0.0055929227,0.023841936,0.015413649189155474,0,4.0,0.3809727430343628,-0.008248517,3.4288049,0.009516095,4.2032193e-13,0.10412704,34944.0,7862400.0,1.94,225.0,1.9453125,23.0
0.0,0.64594036,3.4773777,481,0.0,-0.033120666,0.14026396,0.009613844,254.09576028086227,32110.924077510834,0.14134955,-0.035633694,0.003158968,0.022871608,0.015508774431204972,0,,0.5941258370876312,-0.005463697,3.4719138,0.009768707,3.8231207e-13,0.089359716,34944.0,7862400.0,1.94,225.0,1.9453125,23.0
0.0,0.6022698,3.4662976,482,0.0,0.053713605,0.14538443,0.009588684,252.05508799791718,32175.92574095726,0.14976615,0.049029507,0.0052863676,0.023246348,0.015384221679560375,0,10.0,0.465301513671875,-0.011489955,3.4548078,0.009453228,4.2643412e-13,0.10630958,35072.0,7891200.0,2.0,225.0,2.0,23.0
0.0,0.5994519,3.4590847,483,0.0,0.040783428,0.1508799,0.00979406,253.3031794686154,32240.607124090195,0.14378996,0.03804307,0.0033398075,0.027039208,0.015460399137488734,0,,0.669124573469162,0.0018050296,3.4608898,0.009784041,4.1675452e-13,0.086788796,35072.0,7891200.0,2.0,225.0,2.0,23.0
0.0,0.6144451,3.4414682,484,0.0,0.085114285,0.147085,0.009579375,249.97061308255027,32306.15082859993,0.15507707,0.07973634,0.00599239,0.02394476,0.01525699542740175,0,4.0,0.43904685974121094,4.794792e-05,3.441516,0.009472627,3.8008838e-13,0.11016196,35200.0,7920000.0,1.72,225.0,1.734375,23.0
0.0,0.6663337,3.4746175,485,0.0,0.0001404942,0.12222803,0.009937962,251.79809183226945,32371.21883559227,0.135746,-0.0032720733,0.0040789014,0.023860369,0.015368535878434415,0,,0.4788498878479004,0.006592596,3.48121,0.009846039,4.3037373e-13,0.0882373,35200.0,7920000.0,1.72,225.0,1.734375,23.0
0.0,0.61843234,3.4796321,486,0.0,-0.05485013,0.1548205,0.009490692,250.88304324675389,32436.52416586876,0.1564837,-0.060165696,0.005933995,0.022398248,0.01531268574504113,0,12.0,0.5129657983779907,-0.015862733,3.4637694,0.009518284,3.6144238e-13,0.10804588,35328.0,7948800.0,2.26,225.0,2.1796875,23.0
0.0,0.64163136,3.4587548,487,0.0,0.030284502,0.12473279,0.009868282,252.7576224226172,32501.345158576965,0.13692294,0.02558342,0.0053427117,0.023973947,0.015427100977942945,0,12.0,0.34344571828842163,-0.0042350125,3.4545197,0.009924167,3.7839615e-13,0.10106853,35456.0,7977600.0,2.03,225.0,2.1796875,23.0
